t,state,idle,e0_temp,e0_target,e0_power,e1_temp,e1_target,e2_temp,e2_target,bed_temp
0.3,calibration,Printing,221.82,220,0.554,120.52,120,200.89,0,27.11
2.0,calibration,Printing,220.66,220,0.640,120.09,120,200.89,0,27.11
3.3,calibration,Printing,220.21,170,0.000,120.22,120,200.89,0,27.09
4.5,calibration,Printing,219.88,170,0.000,119.96,120,200.89,0,27.09
5.8,calibration,Printing,219.57,170,0.000,120.07,120,200.89,0,27.09
7.3,calibration,Printing,219.21,170,0.000,120.67,120,200.89,0,27.10
8.6,calibration,Printing,218.76,170,0.000,120.20,120,200.88,0,27.11
10.1,calibration,Printing,218.09,170,0.000,120.29,120,200.89,0,27.11
11.3,calibration,Printing,217.00,170,0.000,120.00,120,200.89,0,27.10
12.8,calibration,Printing,215.62,170,0.000,120.20,120,200.88,0,27.09
14.1,calibration,Printing,214.38,170,0.000,120.24,120,200.89,0,27.12
15.3,calibration,Printing,212.92,170,0.000,119.87,120,200.89,0,27.12
16.9,calibration,Printing,211.05,170,0.000,120.41,120,200.90,0,27.10
18.4,calibration,Printing,209.00,170,0.000,119.86,120,200.89,0,27.11
19.6,calibration,Printing,207.27,170,0.000,120.59,120,200.89,0,27.11
21.1,calibration,Printing,205.09,170,0.000,120.08,120,200.89,0,27.10
22.4,calibration,Printing,203.29,170,0.000,120.51,120,200.89,0,27.10
23.6,calibration,Printing,200.96,170,0.000,120.80,120,200.88,0,27.10
25.1,calibration,Printing,198.75,170,0.000,120.34,120,200.89,0,27.12
26.5,calibration,Printing,196.91,170,0.000,119.98,120,200.89,0,27.10
27.9,calibration,Printing,194.56,170,0.000,120.20,120,200.89,0,27.10
29.2,calibration,Printing,192.69,170,0.000,120.05,120,200.89,0,27.11
30.5,calibration,Printing,190.80,170,0.000,120.00,120,200.89,0,27.12
31.9,calibration,Printing,188.50,170,0.000,120.26,120,200.89,0,27.12
33.4,calibration,Printing,186.27,170,0.000,120.26,120,200.89,0,27.11
34.8,calibration,Printing,184.54,170,0.000,120.98,120,200.89,0,27.12
36.2,calibration,Printing,182.19,170,0.000,120.21,120,200.89,0,27.13
37.4,calibration,Printing,179.91,170,0.002,120.96,120,200.89,0,27.12
38.9,calibration,Printing,177.72,170,0.126,120.47,120,200.89,0,27.13
40.2,calibration,Printing,176.03,170,0.201,120.24,120,200.89,0,27.12
41.6,calibration,Printing,174.36,170,0.441,120.29,120,200.89,0,27.14
43.0,calibration,Printing,172.42,170,0.497,119.69,120,200.88,0,27.14
44.2,calibration,Printing,170.99,170,0.603,120.53,120,200.89,0,27.14
45.7,calibration,Printing,169.61,170,0.636,120.02,120,200.89,0,27.11
47.0,calibration,Printing,168.76,170,0.636,120.41,120,200.89,0,27.13
48.5,calibration,Printing,168.12,170,0.665,120.82,120,200.89,0,27.14
49.7,calibration,Printing,167.93,170,0.455,120.49,120,200.88,0,27.13
51.2,calibration,Printing,168.20,170,0.350,119.90,120,200.89,0,27.13
52.7,calibration,Printing,168.69,170,0.297,120.87,120,200.89,0,27.14
54.0,calibration,Printing,169.26,170,0.207,120.72,120,200.89,0,27.18
55.3,calibration,Printing,169.69,170,0.192,120.27,120,200.88,0,27.16
56.7,calibration,Printing,170.38,170,0.105,120.23,120,200.89,0,27.15
58.0,calibration,Printing,170.69,170,0.092,120.17,120,200.89,0,27.17
59.3,calibration,Printing,170.98,170,0.097,119.99,120,200.89,0,27.19
60.8,calibration,Printing,171.17,170,0.097,120.48,120,200.89,0,27.18
62.0,calibration,Printing,171.16,170,0.179,119.99,120,200.88,0,27.18
63.5,calibration,Printing,170.91,170,0.247,120.93,120,200.89,0,27.19
64.9,calibration,Printing,170.69,170,0.247,120.75,120,200.89,0,27.19
66.3,calibration,Printing,170.40,170,0.366,119.99,120,200.88,0,27.21
67.6,calibration,Printing,170.05,170,0.344,120.45,120,200.88,0,27.19
69.1,calibration,Printing,169.65,170,0.355,120.90,120,200.88,0,27.21
70.3,calibration,Printing,169.48,170,0.359,120.63,120,200.88,0,27.22
71.8,calibration,Printing,169.21,170,0.505,119.85,120,200.88,0,27.23
73.1,calibration,Printing,169.12,170,0.334,120.63,120,200.88,0,27.23
74.3,calibration,Printing,169.17,170,0.284,120.81,120,200.88,0,27.25
75.8,calibration,Printing,169.37,170,0.284,120.26,120,200.88,0,27.27
